d,b,t,r_out,n_r,n,mxx,myy,vx,vy,mzz,area,ixx,iyy,ixy,g_eff,utilization,section_param_id,section_type
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,-688877.8411078074,-13123244.050896186,2412613.5814369135,-115170.57508705728,13682.531591810926,11534146.225134902,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.3224255288135334,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,354570.90396173624,-25554864.017701592,-5432601.534689963,41320.27038453339,152295.668464927,-21244114.167971488,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.35212020813118644,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,-487911.4418499508,-6665060.665239155,26048985.579202034,-240323.0717073866,238398.79961875366,-18573854.554470655,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.7629307662735937,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,-48213.70466826204,22537052.079304587,10349806.402823418,-233498.37710108014,-168306.32083780586,12107479.980279453,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.6478506115039617,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,-957990.4146786302,-5910820.640145335,9593818.254856251,17546.913768451544,-174641.50276166885,10741271.63485976,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.2749126127044565,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,-836498.7582530341,-5510662.6714536175,17203332.860294424,199276.21401505498,-274124.0644844815,-1107541.8550871909,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.6175899333939006,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,259360.88508675573,-1480748.1871496513,-21513331.83463218,-91582.99636766026,-8825.854623311723,12459666.669287585,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.25918600804406666,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,-716226.7600879327,-14413897.098314235,-26603403.753980696,-103603.25988160036,-36080.73503063695,12348531.499250822,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.3495174222184067,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,481098.86431528674,20530035.73510356,-3088052.861729402,127756.88500995236,-47975.57935910797,3404835.853869576,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.2946977593167953,0,rectangular_hollow_section
292.94033820672473,184.12359884132417,16.722934093201644,17.628862332521013,4,-431181.4932586313,11812853.103740152,-17383516.855414674,-253659.5098331436,-15856.885531034786,3674280.16394908,14527.23537508926,32006895316398.25,15201913672502.219,-0.265625,76923.07692307695,0.49934047522802666,0,rectangular_hollow_section
