d,b,t,r_out,n_r,section_param_id,n,mxx,myy,vx,vy,mzz,utilization
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,614734.8812005916,-22240864.420438413,29439747.166698575,83550.25305716455,39631.84996276343,-3403050.815473169,0.9195924007457144
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-172989.45272930653,-6593905.195685424,-8746632.66635149,-233372.28108284788,146448.37417766766,1175577.7933722325,0.9552711907597493
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-659782.0615647078,11585147.57813019,4333196.228179134,264634.8899963961,78900.61898109649,-19252605.572754197,1.1959238660452214
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-534157.6632026394,18406384.47482005,7619930.138078824,42629.30076953606,-183765.75730330753,-1432708.0437293537,0.593238254031036
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,348492.67419425934,-19018962.660391778,-14394654.64152358,127977.01422834705,268130.070355006,4256919.150476705,1.015709579600938
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-852031.1177109983,19669627.035751376,5500438.629616812,-268409.3158705728,228426.8582619484,-19129734.44749869,1.5867999257496437
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,1004857.3364892567,4872707.136960197,12079875.265148975,240881.0596345896,-158491.05475162028,22210975.558121264,1.490810266841953
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,971754.236413301,24072215.03251185,-18221662.82683444,100002.3257474057,-152220.52274693112,21306079.90538329,1.0201435225335318
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-626574.7851246778,-27706794.648170583,16001347.835951433,193803.00075400708,-218043.50880226915,-20989261.58737987,1.48098623015376
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,275720.6975862633,1683783.2974113598,-24187466.9956634,135664.32387956983,189373.48835419607,8204445.278793864,0.9284008273001174
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-100029.74149659055,-29102271.954656757,8488214.443547525,-226358.90677941428,248444.45725335588,5706026.936382122,1.22485530304411
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-712976.5155288889,2322076.200222779,-22767165.607801378,259905.5614798831,164713.88266840926,18595149.467296503,1.3418871286035445
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,571095.5187389927,17553386.990000572,4042332.550624609,15084.479302858643,179484.2675629051,-14680101.431786943,0.7516719181309879
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,1001099.0896991326,17039461.577078026,-25613235.356736366,65231.864806486,-190979.89687631172,-17068537.419369634,1.2837759264047444
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-306881.8064285631,23569211.493703853,1441089.1230552942,-7016.503674426407,-86258.28748785035,-8045568.603588697,0.49219751447672766
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,920556.4527737068,-4197380.493348002,-13109792.937780306,144339.29675166088,-84095.32879460487,22485297.975866966,1.0188961983136469
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,715689.9466051713,26342209.223903943,-6530486.5105979,37523.74732104642,108328.77018968784,9827919.316795986,0.7617353341453023
232.94665049798584,143.7956534178102,4.652268614163316,13.539959845447536,4,0,-660638.4950193672,-16338168.202205982,19093637.078538366,183779.01092938217,-160353.22994075052,6410378.4105917625,1.0299952492181554
